;object_type;average_related_objects;average_related_objects_log;score;used_for_selecting
0;Candidate;3.0636666666666668;1.615259337567248;0.19517098323677562;True
1;JobRequisition;32.0;5.0;0.6041475158123024;True
2;Interviewer;62.06;5.955591791753994;0.7196111972360629;False
3;Recruiter;310.0;8.276124405274238;1.0;False
4;HiringManager;95.05;6.570614721761189;0.793924112302353;False
5;Assessment;3.062925170068027;1.6149101210699115;0.19512878758090632;True
