,object_type,average_related_objects,average_related_objects_log,score,used_for_selecting
0,Purchase Requisition,8.304,3.0538064436957937,0.530695007005851,False
1,Purchase Order,5.662068965517242,2.5013293217628703,0.43468471444129314,True
2,Invoice,4.195804195804196,2.0689473537174914,0.3595447356011987,True
3,Supplier,53.98,5.754353071692127,1.0,False
4,Goods Receipt,2.097902097902098,1.0689473537174914,0.1857632544266451,True
5,Payment,2.099183197199533,1.0698280771389823,0.18591630784733693,True
